Date,Predicted Sales
2024-01-31,172
2024-02-29,117
2024-03-31,142
2024-04-30,194
2024-05-31,114
2024-06-30,141
2024-07-31,129
2024-08-31,115
2024-09-30,130
2024-10-31,118
2024-11-30,99
2024-12-31,180
2025-01-31,174
2025-02-28,124
2025-03-31,155
2025-04-30,204
2025-05-31,127
2025-06-30,137
2025-07-31,133
2025-08-31,118
2025-09-30,141
2025-10-31,121
2025-11-30,109
2025-12-31,183
2026-01-31,184
2026-02-28,128
2026-03-31,164
2026-04-30,209
2026-05-31,134
2026-06-30,137
2026-07-31,144
2026-08-31,120
2026-09-30,150
2026-10-31,125
2026-11-30,116
2026-12-31,188
2027-01-31,193
2027-02-28,133
2027-03-31,166
2027-04-30,216
2027-05-31,140
2027-06-30,145
2027-07-31,149
2027-08-31,129
2027-09-30,150
2027-10-31,133
2027-11-30,121
2027-12-31,191
2028-01-31,198
2028-02-29,138
2028-03-31,173
2028-04-30,223
2028-05-31,145
2028-06-30,152
2028-07-31,154
2028-08-31,135
2028-09-30,154
