Date,Predicted Sales
2024-01-31,67
2024-02-29,69
2024-03-31,44
2024-04-30,52
2024-05-31,45
2024-06-30,53
2024-07-31,59
2024-08-31,60
2024-09-30,72
2024-10-31,37
2024-11-30,58
2024-12-31,37
2025-01-31,60
2025-02-28,69
2025-03-31,48
2025-04-30,49
2025-05-31,42
2025-06-30,60
2025-07-31,60
2025-08-31,60
2025-09-30,71
2025-10-31,34
2025-11-30,51
2025-12-31,36
2026-01-31,58
2026-02-28,66
2026-03-31,47
2026-04-30,46
2026-05-31,40
2026-06-30,53
2026-07-31,60
2026-08-31,56
2026-09-30,70
2026-10-31,36
2026-11-30,51
2026-12-31,34
2027-01-31,56
2027-02-28,72
2027-03-31,46
2027-04-30,45
2027-05-31,39
2027-06-30,52
2027-07-31,55
2027-08-31,57
2027-09-30,68
2027-10-31,35
2027-11-30,49
2027-12-31,33
2028-01-31,55
2028-02-29,62
2028-03-31,44
2028-04-30,45
2028-05-31,37
2028-06-30,50
2028-07-31,56
2028-08-31,59
2028-09-30,65
