Date,Predicted Sales
2024-01-31,82
2024-02-29,114
2024-03-31,83
2024-04-30,118
2024-05-31,112
2024-06-30,77
2024-07-31,108
2024-08-31,139
2024-09-30,131
2024-10-31,76
2024-11-30,101
2024-12-31,89
2025-01-31,97
2025-02-28,109
2025-03-31,57
2025-04-30,115
2025-05-31,124
2025-06-30,64
2025-07-31,117
2025-08-31,116
2025-09-30,108
2025-10-31,56
2025-11-30,103
2025-12-31,85
2026-01-31,80
2026-02-28,98
2026-03-31,45
2026-04-30,115
2026-05-31,114
2026-06-30,64
2026-07-31,115
2026-08-31,126
2026-09-30,98
2026-10-31,54
2026-11-30,102
2026-12-31,81
2027-01-31,73
2027-02-28,97
2027-03-31,56
2027-04-30,104
2027-05-31,106
2027-06-30,61
2027-07-31,102
2027-08-31,117
2027-09-30,105
2027-10-31,56
2027-11-30,91
2027-12-31,76
2028-01-31,72
2028-02-29,95
2028-03-31,45
2028-04-30,101
2028-05-31,106
2028-06-30,55
2028-07-31,102
2028-08-31,107
2028-09-30,96
