Date,Predicted Sales
2024-01-31,54
2024-02-29,97
2024-03-31,62
2024-04-30,43
2024-05-31,59
2024-06-30,69
2024-07-31,64
2024-08-31,60
2024-09-30,58
2024-10-31,55
2024-11-30,49
2024-12-31,70
2025-01-31,48
2025-02-28,84
2025-03-31,60
2025-04-30,48
2025-05-31,58
2025-06-30,65
2025-07-31,61
2025-08-31,61
2025-09-30,56
2025-10-31,50
2025-11-30,45
2025-12-31,70
2026-01-31,48
2026-02-28,83
2026-03-31,60
2026-04-30,45
2026-05-31,57
2026-06-30,64
2026-07-31,59
2026-08-31,59
2026-09-30,56
2026-10-31,50
2026-11-30,45
2026-12-31,65
2027-01-31,45
2027-02-28,83
2027-03-31,55
2027-04-30,41
2027-05-31,53
2027-06-30,58
2027-07-31,57
2027-08-31,55
2027-09-30,54
2027-10-31,48
2027-11-30,42
2027-12-31,63
2028-01-31,43
2028-02-29,79
2028-03-31,54
2028-04-30,39
2028-05-31,53
2028-06-30,59
2028-07-31,55
2028-08-31,54
2028-09-30,52
