Date,Predicted Sales
2024-01-31,58
2024-02-29,43
2024-03-31,39
2024-04-30,50
2024-05-31,46
2024-06-30,63
2024-07-31,54
2024-08-31,58
2024-09-30,58
2024-10-31,64
2024-11-30,53
2024-12-31,52
2025-01-31,60
2025-02-28,46
2025-03-31,50
2025-04-30,54
2025-05-31,57
2025-06-30,56
2025-07-31,64
2025-08-31,61
2025-09-30,61
2025-10-31,58
2025-11-30,56
2025-12-31,55
2026-01-31,60
2026-02-28,45
2026-03-31,51
2026-04-30,54
2026-05-31,60
2026-06-30,57
2026-07-31,64
2026-08-31,59
2026-09-30,60
2026-10-31,58
2026-11-30,57
2026-12-31,56
2027-01-31,61
2027-02-28,47
2027-03-31,52
2027-04-30,55
2027-05-31,59
2027-06-30,59
2027-07-31,65
2027-08-31,61
2027-09-30,61
2027-10-31,59
2027-11-30,58
2027-12-31,57
2028-01-31,63
2028-02-29,49
2028-03-31,53
2028-04-30,56
2028-05-31,60
2028-06-30,60
2028-07-31,65
2028-08-31,61
2028-09-30,62
