Date,Predicted Sales
2024-01-31,95
2024-02-29,118
2024-03-31,112
2024-04-30,106
2024-05-31,106
2024-06-30,109
2024-07-31,111
2024-08-31,138
2024-09-30,132
2024-10-31,124
2024-11-30,118
2024-12-31,134
2025-01-31,102
2025-02-28,117
2025-03-31,115
2025-04-30,109
2025-05-31,118
2025-06-30,114
2025-07-31,110
2025-08-31,153
2025-09-30,130
2025-10-31,129
2025-11-30,123
2025-12-31,123
2026-01-31,105
2026-02-28,107
2026-03-31,123
2026-04-30,102
2026-05-31,117
2026-06-30,116
2026-07-31,114
2026-08-31,131
2026-09-30,128
2026-10-31,108
2026-11-30,128
2026-12-31,119
2027-01-31,100
2027-02-28,106
2027-03-31,117
2027-04-30,99
2027-05-31,110
2027-06-30,109
2027-07-31,110
2027-08-31,126
2027-09-30,125
2027-10-31,109
2027-11-30,128
2027-12-31,120
2028-01-31,101
2028-02-29,108
2028-03-31,116
2028-04-30,100
2028-05-31,111
2028-06-30,112
2028-07-31,116
2028-08-31,129
2028-09-30,126
