Date,Predicted Sales
2024-01-31,69
2024-02-29,106
2024-03-31,82
2024-04-30,120
2024-05-31,113
2024-06-30,94
2024-07-31,85
2024-08-31,128
2024-09-30,124
2024-10-31,67
2024-11-30,140
2024-12-31,99
2025-01-31,86
2025-02-28,105
2025-03-31,89
2025-04-30,102
2025-05-31,127
2025-06-30,109
2025-07-31,100
2025-08-31,128
2025-09-30,129
2025-10-31,82
2025-11-30,123
2025-12-31,102
2026-01-31,76
2026-02-28,135
2026-03-31,93
2026-04-30,74
2026-05-31,121
2026-06-30,100
2026-07-31,96
2026-08-31,123
2026-09-30,104
2026-10-31,70
2026-11-30,150
2026-12-31,96
2027-01-31,73
2027-02-28,117
2027-03-31,86
2027-04-30,94
2027-05-31,117
2027-06-30,97
2027-07-31,92
2027-08-31,124
2027-09-30,112
2027-10-31,70
2027-11-30,141
2027-12-31,98
2028-01-31,79
2028-02-29,110
2028-03-31,85
2028-04-30,94
2028-05-31,120
2028-06-30,102
2028-07-31,93
2028-08-31,121
2028-09-30,119
