Date,Predicted Sales
2024-01-31,77
2024-02-29,89
2024-03-31,57
2024-04-30,67
2024-05-31,106
2024-06-30,59
2024-07-31,84
2024-08-31,58
2024-09-30,83
2024-10-31,51
2024-11-30,65
2024-12-31,120
2025-01-31,87
2025-02-28,92
2025-03-31,54
2025-04-30,71
2025-05-31,104
2025-06-30,70
2025-07-31,83
2025-08-31,62
2025-09-30,63
2025-10-31,40
2025-11-30,60
2025-12-31,111
2026-01-31,84
2026-02-28,103
2026-03-31,58
2026-04-30,70
2026-05-31,129
2026-06-30,62
2026-07-31,85
2026-08-31,58
2026-09-30,64
2026-10-31,42
2026-11-30,65
2026-12-31,116
2027-01-31,83
2027-02-28,96
2027-03-31,56
2027-04-30,70
2027-05-31,117
2027-06-30,63
2027-07-31,84
2027-08-31,59
2027-09-30,66
2027-10-31,43
2027-11-30,64
2027-12-31,115
2028-01-31,84
2028-02-29,96
2028-03-31,55
2028-04-30,72
2028-05-31,117
2028-06-30,65
2028-07-31,84
2028-08-31,60
2028-09-30,65
