Date,Predicted Sales
2024-01-31,150
2024-02-29,76
2024-03-31,113
2024-04-30,87
2024-05-31,126
2024-06-30,85
2024-07-31,72
2024-08-31,124
2024-09-30,66
2024-10-31,95
2024-11-30,100
2024-12-31,126
2025-01-31,89
2025-02-28,118
2025-03-31,99
2025-04-30,85
2025-05-31,135
2025-06-30,90
2025-07-31,64
2025-08-31,134
2025-09-30,76
2025-10-31,105
2025-11-30,104
2025-12-31,120
2026-01-31,72
2026-02-28,88
2026-03-31,100
2026-04-30,72
2026-05-31,110
2026-06-30,84
2026-07-31,95
2026-08-31,115
2026-09-30,57
2026-10-31,88
2026-11-30,90
2026-12-31,133
2027-01-31,119
2027-02-28,91
2027-03-31,106
2027-04-30,84
2027-05-31,125
2027-06-30,85
2027-07-31,72
2027-08-31,126
2027-09-30,67
2027-10-31,97
2027-11-30,93
2027-12-31,122
2028-01-31,92
2028-02-29,99
2028-03-31,98
2028-04-30,78
2028-05-31,125
2028-06-30,88
2028-07-31,76
2028-08-31,123
2028-09-30,65
