Date,Predicted Sales
2024-01-31,86
2024-02-29,123
2024-03-31,93
2024-04-30,61
2024-05-31,79
2024-06-30,102
2024-07-31,74
2024-08-31,89
2024-09-30,108
2024-10-31,49
2024-11-30,51
2024-12-31,77
2025-01-31,88
2025-02-28,124
2025-03-31,101
2025-04-30,49
2025-05-31,87
2025-06-30,104
2025-07-31,68
2025-08-31,85
2025-09-30,96
2025-10-31,58
2025-11-30,76
2025-12-31,96
2026-01-31,111
2026-02-28,129
2026-03-31,119
2026-04-30,68
2026-05-31,99
2026-06-30,119
2026-07-31,73
2026-08-31,94
2026-09-30,128
2026-10-31,69
2026-11-30,60
2026-12-31,97
2027-01-31,107
2027-02-28,134
2027-03-31,112
2027-04-30,72
2027-05-31,98
2027-06-30,119
2027-07-31,82
2027-08-31,95
2027-09-30,118
2027-10-31,65
2027-11-30,66
2027-12-31,95
2028-01-31,106
2028-02-29,136
2028-03-31,115
2028-04-30,69
2028-05-31,100
2028-06-30,119
2028-07-31,83
2028-08-31,98
2028-09-30,117
