Date,Predicted Sales
2024-01-31,91
2024-02-29,84
2024-03-31,123
2024-04-30,88
2024-05-31,70
2024-06-30,99
2024-07-31,96
2024-08-31,70
2024-09-30,59
2024-10-31,86
2024-11-30,37
2024-12-31,75
2025-01-31,88
2025-02-28,81
2025-03-31,123
2025-04-30,80
2025-05-31,63
2025-06-30,94
2025-07-31,84
2025-08-31,64
2025-09-30,55
2025-10-31,71
2025-11-30,28
2025-12-31,71
2026-01-31,87
2026-02-28,78
2026-03-31,128
2026-04-30,71
2026-05-31,61
2026-06-30,97
2026-07-31,83
2026-08-31,57
2026-09-30,43
2026-10-31,69
2026-11-30,24
2026-12-31,62
2027-01-31,80
2027-02-28,73
2027-03-31,113
2027-04-30,67
2027-05-31,53
2027-06-30,84
2027-07-31,76
2027-08-31,50
2027-09-30,37
2027-10-31,62
2027-11-30,15
2027-12-31,51
2028-01-31,70
2028-02-29,64
2028-03-31,106
2028-04-30,55
2028-05-31,42
2028-06-30,79
2028-07-31,66
2028-08-31,42
2028-09-30,30
