Date,Predicted Sales
2024-01-31,170
2024-02-29,174
2024-03-31,136
2024-04-30,162
2024-05-31,162
2024-06-30,156
2024-07-31,157
2024-08-31,153
2024-09-30,152
2024-10-31,152
2024-11-30,147
2024-12-31,160
2025-01-31,176
2025-02-28,185
2025-03-31,138
2025-04-30,162
2025-05-31,161
2025-06-30,159
2025-07-31,165
2025-08-31,155
2025-09-30,158
2025-10-31,158
2025-11-30,137
2025-12-31,156
2026-01-31,175
2026-02-28,191
2026-03-31,147
2026-04-30,175
2026-05-31,160
2026-06-30,162
2026-07-31,163
2026-08-31,155
2026-09-30,146
2026-10-31,160
2026-11-30,144
2026-12-31,162
2027-01-31,177
2027-02-28,192
2027-03-31,148
2027-04-30,176
2027-05-31,166
2027-06-30,166
2027-07-31,167
2027-08-31,160
2027-09-30,152
2027-10-31,166
2027-11-30,150
2027-12-31,163
2028-01-31,184
2028-02-29,197
2028-03-31,151
2028-04-30,181
2028-05-31,169
2028-06-30,172
2028-07-31,171
2028-08-31,159
2028-09-30,156
