Date,Predicted Sales
2024-01-31,50
2024-02-29,85
2024-03-31,82
2024-04-30,109
2024-05-31,97
2024-06-30,92
2024-07-31,114
2024-08-31,79
2024-09-30,84
2024-10-31,82
2024-11-30,108
2024-12-31,69
2025-01-31,71
2025-02-28,94
2025-03-31,83
2025-04-30,105
2025-05-31,114
2025-06-30,84
2025-07-31,106
2025-08-31,64
2025-09-30,101
2025-10-31,83
2025-11-30,112
2025-12-31,80
2026-01-31,93
2026-02-28,98
2026-03-31,91
2026-04-30,125
2026-05-31,104
2026-06-30,96
2026-07-31,101
2026-08-31,79
2026-09-30,111
2026-10-31,97
2026-11-30,127
2026-12-31,98
2027-01-31,94
2027-02-28,119
2027-03-31,112
2027-04-30,136
2027-05-31,130
2027-06-30,117
2027-07-31,136
2027-08-31,103
2027-09-30,124
2027-10-31,115
2027-11-30,141
2027-12-31,106
2028-01-31,112
2028-02-29,129
2028-03-31,121
2028-04-30,148
2028-05-31,144
2028-06-30,125
2028-07-31,139
2028-08-31,106
2028-09-30,137
