Date,Predicted Sales
2024-01-31,96
2024-02-29,95
2024-03-31,52
2024-04-30,79
2024-05-31,64
2024-06-30,90
2024-07-31,60
2024-08-31,101
2024-09-30,67
2024-10-31,106
2024-11-30,101
2024-12-31,64
2025-01-31,105
2025-02-28,101
2025-03-31,73
2025-04-30,64
2025-05-31,56
2025-06-30,116
2025-07-31,66
2025-08-31,108
2025-09-30,88
2025-10-31,118
2025-11-30,88
2025-12-31,53
2026-01-31,122
2026-02-28,73
2026-03-31,59
2026-04-30,70
2026-05-31,55
2026-06-30,99
2026-07-31,59
2026-08-31,86
2026-09-30,68
2026-10-31,128
2026-11-30,88
2026-12-31,62
2027-01-31,102
2027-02-28,86
2027-03-31,54
2027-04-30,70
2027-05-31,56
2027-06-30,94
2027-07-31,58
2027-08-31,94
2027-09-30,69
2027-10-31,110
2027-11-30,92
2027-12-31,57
2028-01-31,105
2028-02-29,85
2028-03-31,61
2028-04-30,63
2028-05-31,52
2028-06-30,101
2028-07-31,57
2028-08-31,95
2028-09-30,76
