Date,Predicted Sales
2024-01-31,149
2024-02-29,117
2024-03-31,172
2024-04-30,177
2024-05-31,142
2024-06-30,159
2024-07-31,160
2024-08-31,143
2024-09-30,151
2024-10-31,149
2024-11-30,146
2024-12-31,156
2025-01-31,147
2025-02-28,110
2025-03-31,165
2025-04-30,179
2025-05-31,144
2025-06-30,167
2025-07-31,167
2025-08-31,147
2025-09-30,155
2025-10-31,151
2025-11-30,148
2025-12-31,158
2026-01-31,149
2026-02-28,113
2026-03-31,171
2026-04-30,179
2026-05-31,142
2026-06-30,160
2026-07-31,164
2026-08-31,145
2026-09-30,154
2026-10-31,152
2026-11-30,150
2026-12-31,160
2027-01-31,150
2027-02-28,116
2027-03-31,172
2027-04-30,180
2027-05-31,143
2027-06-30,162
2027-07-31,166
2027-08-31,147
2027-09-30,155
2027-10-31,151
2027-11-30,150
2027-12-31,160
2028-01-31,152
2028-02-29,117
2028-03-31,174
2028-04-30,181
2028-05-31,145
2028-06-30,164
2028-07-31,168
2028-08-31,148
2028-09-30,155
