Date,Predicted Sales
2024-01-31,70
2024-02-29,56
2024-03-31,112
2024-04-30,58
2024-05-31,101
2024-06-30,101
2024-07-31,101
2024-08-31,64
2024-09-30,52
2024-10-31,56
2024-11-30,47
2024-12-31,72
2025-01-31,76
2025-02-28,72
2025-03-31,134
2025-04-30,61
2025-05-31,82
2025-06-30,105
2025-07-31,94
2025-08-31,59
2025-09-30,42
2025-10-31,57
2025-11-30,38
2025-12-31,59
2026-01-31,68
2026-02-28,66
2026-03-31,120
2026-04-30,59
2026-05-31,78
2026-06-30,93
2026-07-31,86
2026-08-31,55
2026-09-30,36
2026-10-31,38
2026-11-30,30
2026-12-31,56
2027-01-31,56
2027-02-28,51
2027-03-31,106
2027-04-30,44
2027-05-31,72
2027-06-30,85
2027-07-31,80
2027-08-31,44
2027-09-30,30
2027-10-31,37
2027-11-30,23
2027-12-31,45
2028-01-31,49
2028-02-29,46
2028-03-31,103
2028-04-30,39
2028-05-31,63
2028-06-30,79
2028-07-31,73
2028-08-31,40
2028-09-30,22
