Date,Predicted Sales
2024-01-31,54
2024-02-29,57
2024-03-31,63
2024-04-30,44
2024-05-31,42
2024-06-30,65
2024-07-31,61
2024-08-31,54
2024-09-30,64
2024-10-31,65
2024-11-30,73
2024-12-31,61
2025-01-31,57
2025-02-28,59
2025-03-31,65
2025-04-30,48
2025-05-31,46
2025-06-30,66
2025-07-31,63
2025-08-31,56
2025-09-30,66
2025-10-31,68
2025-11-30,75
2025-12-31,61
2026-01-31,61
2026-02-28,63
2026-03-31,68
2026-04-30,51
2026-05-31,50
2026-06-30,69
2026-07-31,63
2026-08-31,58
2026-09-30,69
2026-10-31,72
2026-11-30,78
2026-12-31,64
2027-01-31,63
2027-02-28,66
2027-03-31,70
2027-04-30,52
2027-05-31,51
2027-06-30,71
2027-07-31,68
2027-08-31,62
2027-09-30,71
2027-10-31,72
2027-11-30,79
2027-12-31,66
2028-01-31,65
2028-02-29,69
2028-03-31,72
2028-04-30,54
2028-05-31,54
2028-06-30,75
2028-07-31,70
2028-08-31,65
2028-09-30,76
