Date,Predicted Sales
2024-01-31,155
2024-02-29,110
2024-03-31,129
2024-04-30,139
2024-05-31,132
2024-06-30,100
2024-07-31,114
2024-08-31,114
2024-09-30,124
2024-10-31,145
2024-11-30,124
2024-12-31,136
2025-01-31,116
2025-02-28,109
2025-03-31,123
2025-04-30,136
2025-05-31,145
2025-06-30,94
2025-07-31,110
2025-08-31,125
2025-09-30,131
2025-10-31,139
2025-11-30,134
2025-12-31,133
2026-01-31,139
2026-02-28,96
2026-03-31,141
2026-04-30,129
2026-05-31,155
2026-06-30,110
2026-07-31,117
2026-08-31,124
2026-09-30,117
2026-10-31,149
2026-11-30,129
2026-12-31,129
2027-01-31,133
2027-02-28,106
2027-03-31,134
2027-04-30,136
2027-05-31,139
2027-06-30,98
2027-07-31,115
2027-08-31,122
2027-09-30,126
2027-10-31,147
2027-11-30,130
2027-12-31,134
2028-01-31,131
2028-02-29,105
2028-03-31,135
2028-04-30,134
2028-05-31,148
2028-06-30,102
2028-07-31,116
2028-08-31,125
2028-09-30,127
