Date,Predicted Sales
2024-01-31,99
2024-02-29,94
2024-03-31,85
2024-04-30,107
2024-05-31,92
2024-06-30,92
2024-07-31,108
2024-08-31,106
2024-09-30,110
2024-10-31,90
2024-11-30,108
2024-12-31,124
2025-01-31,124
2025-02-28,97
2025-03-31,100
2025-04-30,92
2025-05-31,99
2025-06-30,111
2025-07-31,109
2025-08-31,95
2025-09-30,106
2025-10-31,99
2025-11-30,110
2025-12-31,114
2026-01-31,121
2026-02-28,96
2026-03-31,92
2026-04-30,97
2026-05-31,103
2026-06-30,95
2026-07-31,114
2026-08-31,89
2026-09-30,103
2026-10-31,98
2026-11-30,107
2026-12-31,127
2027-01-31,120
2027-02-28,100
2027-03-31,93
2027-04-30,107
2027-05-31,108
2027-06-30,103
2027-07-31,116
2027-08-31,102
2027-09-30,109
2027-10-31,100
2027-11-30,110
2027-12-31,132
2028-01-31,125
2028-02-29,103
2028-03-31,101
2028-04-30,105
2028-05-31,107
2028-06-30,108
2028-07-31,119
2028-08-31,104
2028-09-30,113
