Date,Predicted Sales
2024-01-31,69
2024-02-29,63
2024-03-31,81
2024-04-30,69
2024-05-31,73
2024-06-30,73
2024-07-31,62
2024-08-31,62
2024-09-30,66
2024-10-31,71
2024-11-30,85
2024-12-31,71
2025-01-31,76
2025-02-28,61
2025-03-31,73
2025-04-30,71
2025-05-31,76
2025-06-30,74
2025-07-31,64
2025-08-31,65
2025-09-30,66
2025-10-31,69
2025-11-30,85
2025-12-31,71
2026-01-31,76
2026-02-28,61
2026-03-31,75
2026-04-30,72
2026-05-31,78
2026-06-30,74
2026-07-31,63
2026-08-31,65
2026-09-30,69
2026-10-31,72
2026-11-30,84
2026-12-31,72
2027-01-31,76
2027-02-28,61
2027-03-31,74
2027-04-30,72
2027-05-31,79
2027-06-30,75
2027-07-31,64
2027-08-31,66
2027-09-30,71
2027-10-31,70
2027-11-30,87
2027-12-31,76
2028-01-31,76
2028-02-29,63
2028-03-31,77
2028-04-30,71
2028-05-31,80
2028-06-30,76
2028-07-31,61
2028-08-31,64
2028-09-30,74
