Date,Predicted Sales
2024-01-31,157
2024-02-29,189
2024-03-31,169
2024-04-30,180
2024-05-31,153
2024-06-30,151
2024-07-31,221
2024-08-31,157
2024-09-30,185
2024-10-31,176
2024-11-30,152
2024-12-31,177
2025-01-31,182
2025-02-28,213
2025-03-31,182
2025-04-30,181
2025-05-31,168
2025-06-30,164
2025-07-31,218
2025-08-31,151
2025-09-30,165
2025-10-31,166
2025-11-30,164
2025-12-31,186
2026-01-31,175
2026-02-28,208
2026-03-31,180
2026-04-30,186
2026-05-31,168
2026-06-30,166
2026-07-31,232
2026-08-31,163
2026-09-30,177
2026-10-31,175
2026-11-30,165
2026-12-31,189
2027-01-31,184
2027-02-28,217
2027-03-31,188
2027-04-30,192
2027-05-31,173
2027-06-30,171
2027-07-31,233
2027-08-31,165
2027-09-30,180
2027-10-31,178
2027-11-30,170
2027-12-31,192
2028-01-31,189
2028-02-29,222
2028-03-31,190
2028-04-30,193
2028-05-31,179
2028-06-30,176
2028-07-31,243
2028-08-31,170
2028-09-30,184
