Date,Predicted Sales
2024-01-31,120
2024-02-29,146
2024-03-31,138
2024-04-30,157
2024-05-31,153
2024-06-30,159
2024-07-31,159
2024-08-31,199
2024-09-30,162
2024-10-31,154
2024-11-30,158
2024-12-31,141
2025-01-31,115
2025-02-28,157
2025-03-31,142
2025-04-30,183
2025-05-31,146
2025-06-30,137
2025-07-31,161
2025-08-31,198
2025-09-30,159
2025-10-31,141
2025-11-30,158
2025-12-31,155
2026-01-31,117
2026-02-28,155
2026-03-31,138
2026-04-30,185
2026-05-31,151
2026-06-30,137
2026-07-31,156
2026-08-31,193
2026-09-30,161
2026-10-31,144
2026-11-30,159
2026-12-31,153
2027-01-31,116
2027-02-28,156
2027-03-31,140
2027-04-30,186
2027-05-31,151
2027-06-30,136
2027-07-31,158
2027-08-31,200
2027-09-30,164
2027-10-31,143
2027-11-30,158
2027-12-31,154
2028-01-31,117
2028-02-29,156
2028-03-31,141
2028-04-30,188
2028-05-31,152
2028-06-30,139
2028-07-31,159
2028-08-31,198
2028-09-30,162
