Date,Predicted Sales
2024-01-31,133
2024-02-29,162
2024-03-31,138
2024-04-30,153
2024-05-31,142
2024-06-30,165
2024-07-31,135
2024-08-31,130
2024-09-30,98
2024-10-31,183
2024-11-30,171
2024-12-31,140
2025-01-31,164
2025-02-28,186
2025-03-31,150
2025-04-30,149
2025-05-31,158
2025-06-30,165
2025-07-31,157
2025-08-31,160
2025-09-30,95
2025-10-31,203
2025-11-30,195
2025-12-31,155
2026-01-31,162
2026-02-28,189
2026-03-31,158
2026-04-30,166
2026-05-31,164
2026-06-30,178
2026-07-31,158
2026-08-31,153
2026-09-30,117
2026-10-31,203
2026-11-30,196
2026-12-31,157
2027-01-31,175
2027-02-28,199
2027-03-31,167
2027-04-30,173
2027-05-31,175
2027-06-30,184
2027-07-31,174
2027-08-31,170
2027-09-30,120
2027-10-31,213
2027-11-30,211
2027-12-31,168
2028-01-31,185
2028-02-29,206
2028-03-31,176
2028-04-30,180
2028-05-31,183
2028-06-30,195
2028-07-31,181
2028-08-31,176
2028-09-30,130
