Date,Predicted Sales
2024-01-31,257
2024-02-29,301
2024-03-31,289
2024-04-30,228
2024-05-31,269
2024-06-30,298
2024-07-31,292
2024-08-31,273
2024-09-30,303
2024-10-31,245
2024-11-30,240
2024-12-31,265
2025-01-31,280
2025-02-28,268
2025-03-31,266
2025-04-30,289
2025-05-31,283
2025-06-30,268
2025-07-31,255
2025-08-31,261
2025-09-30,269
2025-10-31,274
2025-11-30,278
2025-12-31,251
2026-01-31,289
2026-02-28,281
2026-03-31,272
2026-04-30,293
2026-05-31,288
2026-06-30,273
2026-07-31,262
2026-08-31,266
2026-09-30,279
2026-10-31,282
2026-11-30,285
2026-12-31,260
2027-01-31,292
2027-02-28,291
2027-03-31,279
2027-04-30,297
2027-05-31,299
2027-06-30,284
2027-07-31,270
2027-08-31,275
2027-09-30,287
2027-10-31,290
2027-11-30,294
2027-12-31,267
2028-01-31,299
2028-02-29,290
2028-03-31,297
2028-04-30,313
2028-05-31,306
2028-06-30,294
2028-07-31,278
2028-08-31,279
2028-09-30,298
