Date,Predicted Sales
2024-01-31,133
2024-02-29,145
2024-03-31,131
2024-04-30,155
2024-05-31,121
2024-06-30,145
2024-07-31,141
2024-08-31,129
2024-09-30,102
2024-10-31,134
2024-11-30,138
2024-12-31,94
2025-01-31,142
2025-02-28,142
2025-03-31,135
2025-04-30,153
2025-05-31,124
2025-06-30,147
2025-07-31,141
2025-08-31,130
2025-09-30,104
2025-10-31,135
2025-11-30,139
2025-12-31,104
2026-01-31,144
2026-02-28,142
2026-03-31,137
2026-04-30,152
2026-05-31,122
2026-06-30,145
2026-07-31,135
2026-08-31,131
2026-09-30,104
2026-10-31,129
2026-11-30,139
2026-12-31,104
2027-01-31,139
2027-02-28,145
2027-03-31,138
2027-04-30,154
2027-05-31,127
2027-06-30,149
2027-07-31,143
2027-08-31,131
2027-09-30,104
2027-10-31,138
2027-11-30,141
2027-12-31,107
2028-01-31,145
2028-02-29,147
2028-03-31,141
2028-04-30,157
2028-05-31,127
2028-06-30,151
2028-07-31,143
2028-08-31,130
2028-09-30,107
