Date,Predicted Sales
2024-01-31,68
2024-02-29,23
2024-03-31,37
2024-04-30,1
2024-05-31,41
2024-06-30,30
2024-07-31,74
2024-08-31,24
2024-09-30,66
2024-10-31,20
2024-11-30,46
2024-12-31,24
2025-01-31,22
2025-02-28,18
2025-03-31,35
2025-04-30,1
2025-05-31,1
2025-06-30,18
2025-07-31,22
2025-08-31,1
2025-09-30,36
2025-10-31,1
2025-11-30,26
2025-12-31,1
2026-01-31,9
2026-02-28,1
2026-03-31,1
2026-04-30,1
2026-05-31,9
2026-06-30,1
2026-07-31,29
2026-08-31,1
2026-09-30,20
2026-10-31,1
2026-11-30,17
2026-12-31,1
2027-01-31,1
2027-02-28,1
2027-03-31,1
2027-04-30,1
2027-05-31,1
2027-06-30,1
2027-07-31,1
2027-08-31,1
2027-09-30,1
2027-10-31,1
2027-11-30,1
2027-12-31,1
2028-01-31,1
2028-02-29,1
2028-03-31,1
2028-04-30,1
2028-05-31,1
2028-06-30,1
2028-07-31,1
2028-08-31,1
2028-09-30,1
