Date,Predicted Sales
2024-01-31,206
2024-02-29,224
2024-03-31,202
2024-04-30,205
2024-05-31,213
2024-06-30,215
2024-07-31,223
2024-08-31,209
2024-09-30,230
2024-10-31,205
2024-11-30,232
2024-12-31,206
2025-01-31,222
2025-02-28,227
2025-03-31,209
2025-04-30,213
2025-05-31,217
2025-06-30,218
2025-07-31,227
2025-08-31,215
2025-09-30,237
2025-10-31,211
2025-11-30,238
2025-12-31,211
2026-01-31,226
2026-02-28,231
2026-03-31,214
2026-04-30,219
2026-05-31,223
2026-06-30,224
2026-07-31,232
2026-08-31,222
2026-09-30,243
2026-10-31,219
2026-11-30,244
2026-12-31,217
2027-01-31,233
2027-02-28,238
2027-03-31,220
2027-04-30,224
2027-05-31,228
2027-06-30,229
2027-07-31,239
2027-08-31,228
2027-09-30,250
2027-10-31,224
2027-11-30,249
2027-12-31,220
2028-01-31,243
2028-02-29,242
2028-03-31,226
2028-04-30,230
2028-05-31,235
2028-06-30,236
2028-07-31,245
2028-08-31,232
2028-09-30,255
