Date,Predicted Sales
2024-01-31,158
2024-02-29,141
2024-03-31,158
2024-04-30,116
2024-05-31,121
2024-06-30,149
2024-07-31,164
2024-08-31,111
2024-09-30,127
2024-10-31,137
2024-11-30,103
2024-12-31,129
2025-01-31,150
2025-02-28,128
2025-03-31,145
2025-04-30,114
2025-05-31,137
2025-06-30,150
2025-07-31,149
2025-08-31,106
2025-09-30,129
2025-10-31,147
2025-11-30,107
2025-12-31,125
2026-01-31,144
2026-02-28,129
2026-03-31,151
2026-04-30,112
2026-05-31,134
2026-06-30,148
2026-07-31,149
2026-08-31,103
2026-09-30,127
2026-10-31,143
2026-11-30,104
2026-12-31,129
2027-01-31,148
2027-02-28,126
2027-03-31,147
2027-04-30,116
2027-05-31,137
2027-06-30,150
2027-07-31,150
2027-08-31,102
2027-09-30,124
2027-10-31,147
2027-11-30,108
2027-12-31,128
2028-01-31,147
2028-02-29,125
2028-03-31,149
2028-04-30,116
2028-05-31,136
2028-06-30,149
2028-07-31,148
2028-08-31,106
2028-09-30,132
