Date,Predicted Sales
2024-01-31,34
2024-02-29,25
2024-03-31,19
2024-04-30,29
2024-05-31,22
2024-06-30,21
2024-07-31,63
2024-08-31,53
2024-09-30,31
2024-10-31,1
2024-11-30,18
2024-12-31,16
2025-01-31,4
2025-02-28,15
2025-03-31,1
2025-04-30,1
2025-05-31,1
2025-06-30,6
2025-07-31,60
2025-08-31,37
2025-09-30,16
2025-10-31,1
2025-11-30,10
2025-12-31,1
2026-01-31,1
2026-02-28,1
2026-03-31,1
2026-04-30,1
2026-05-31,1
2026-06-30,6
2026-07-31,39
2026-08-31,28
2026-09-30,1
2026-10-31,1
2026-11-30,1
2026-12-31,1
2027-01-31,1
2027-02-28,1
2027-03-31,1
2027-04-30,1
2027-05-31,1
2027-06-30,1
2027-07-31,21
2027-08-31,6
2027-09-30,1
2027-10-31,1
2027-11-30,1
2027-12-31,1
2028-01-31,1
2028-02-29,1
2028-03-31,1
2028-04-30,1
2028-05-31,1
2028-06-30,1
2028-07-31,7
2028-08-31,1
2028-09-30,1
