Date,Predicted Sales
2024-01-31,92
2024-02-29,87
2024-03-31,75
2024-04-30,86
2024-05-31,109
2024-06-30,90
2024-07-31,89
2024-08-31,98
2024-09-30,83
2024-10-31,84
2024-11-30,78
2024-12-31,86
2025-01-31,86
2025-02-28,74
2025-03-31,70
2025-04-30,82
2025-05-31,105
2025-06-30,91
2025-07-31,88
2025-08-31,94
2025-09-30,74
2025-10-31,82
2025-11-30,75
2025-12-31,83
2026-01-31,84
2026-02-28,72
2026-03-31,68
2026-04-30,78
2026-05-31,102
2026-06-30,86
2026-07-31,83
2026-08-31,89
2026-09-30,71
2026-10-31,81
2026-11-30,77
2026-12-31,83
2027-01-31,83
2027-02-28,67
2027-03-31,62
2027-04-30,75
2027-05-31,99
2027-06-30,81
2027-07-31,80
2027-08-31,85
2027-09-30,66
2027-10-31,76
2027-11-30,68
2027-12-31,76
2028-01-31,75
2028-02-29,63
2028-03-31,60
2028-04-30,71
2028-05-31,96
2028-06-30,77
2028-07-31,76
2028-08-31,85
2028-09-30,65
