Date,Predicted Sales
2024-01-31,93
2024-02-29,70
2024-03-31,74
2024-04-30,96
2024-05-31,69
2024-06-30,46
2024-07-31,77
2024-08-31,70
2024-09-30,69
2024-10-31,73
2024-11-30,51
2024-12-31,65
2025-01-31,88
2025-02-28,75
2025-03-31,65
2025-04-30,95
2025-05-31,71
2025-06-30,42
2025-07-31,69
2025-08-31,65
2025-09-30,69
2025-10-31,58
2025-11-30,47
2025-12-31,66
2026-01-31,87
2026-02-28,74
2026-03-31,73
2026-04-30,81
2026-05-31,71
2026-06-30,46
2026-07-31,73
2026-08-31,66
2026-09-30,65
2026-10-31,72
2026-11-30,38
2026-12-31,64
2027-01-31,87
2027-02-28,70
2027-03-31,68
2027-04-30,87
2027-05-31,67
2027-06-30,44
2027-07-31,73
2027-08-31,64
2027-09-30,62
2027-10-31,67
2027-11-30,42
2027-12-31,62
2028-01-31,86
2028-02-29,71
2028-03-31,66
2028-04-30,88
2028-05-31,68
2028-06-30,43
2028-07-31,70
2028-08-31,65
2028-09-30,63
