Date,Predicted Sales
2024-01-31,116
2024-02-29,139
2024-03-31,99
2024-04-30,117
2024-05-31,105
2024-06-30,101
2024-07-31,103
2024-08-31,97
2024-09-30,94
2024-10-31,104
2024-11-30,107
2024-12-31,97
2025-01-31,113
2025-02-28,137
2025-03-31,107
2025-04-30,105
2025-05-31,99
2025-06-30,90
2025-07-31,95
2025-08-31,89
2025-09-30,106
2025-10-31,103
2025-11-30,111
2025-12-31,93
2026-01-31,108
2026-02-28,130
2026-03-31,109
2026-04-30,105
2026-05-31,95
2026-06-30,88
2026-07-31,92
2026-08-31,91
2026-09-30,91
2026-10-31,101
2026-11-30,113
2026-12-31,96
2027-01-31,108
2027-02-28,130
2027-03-31,107
2027-04-30,105
2027-05-31,95
2027-06-30,87
2027-07-31,88
2027-08-31,91
2027-09-30,90
2027-10-31,101
2027-11-30,110
2027-12-31,94
2028-01-31,104
2028-02-29,127
2028-03-31,103
2028-04-30,103
2028-05-31,93
2028-06-30,86
2028-07-31,90
2028-08-31,91
2028-09-30,90
