Date,Predicted Sales
2024-01-31,85
2024-02-29,71
2024-03-31,51
2024-04-30,77
2024-05-31,67
2024-06-30,56
2024-07-31,50
2024-08-31,80
2024-09-30,83
2024-10-31,70
2024-11-30,62
2024-12-31,73
2025-01-31,51
2025-02-28,38
2025-03-31,31
2025-04-30,59
2025-05-31,65
2025-06-30,50
2025-07-31,56
2025-08-31,70
2025-09-30,75
2025-10-31,60
2025-11-30,72
2025-12-31,56
2026-01-31,59
2026-02-28,48
2026-03-31,32
2026-04-30,73
2026-05-31,57
2026-06-30,45
2026-07-31,49
2026-08-31,95
2026-09-30,81
2026-10-31,76
2026-11-30,63
2026-12-31,67
2027-01-31,63
2027-02-28,48
2027-03-31,32
2027-04-30,64
2027-05-31,58
2027-06-30,44
2027-07-31,47
2027-08-31,74
2027-09-30,73
2027-10-31,65
2027-11-30,61
2027-12-31,64
2028-01-31,56
2028-02-29,41
2028-03-31,27
2028-04-30,59
2028-05-31,52
2028-06-30,35
2028-07-31,43
2028-08-31,71
2028-09-30,70
