Date,Predicted Sales
2024-01-31,166
2024-02-29,185
2024-03-31,160
2024-04-30,200
2024-05-31,174
2024-06-30,140
2024-07-31,214
2024-08-31,192
2024-09-30,182
2024-10-31,209
2024-11-30,144
2024-12-31,148
2025-01-31,191
2025-02-28,196
2025-03-31,180
2025-04-30,198
2025-05-31,173
2025-06-30,159
2025-07-31,214
2025-08-31,210
2025-09-30,216
2025-10-31,219
2025-11-30,166
2025-12-31,162
2026-01-31,189
2026-02-28,189
2026-03-31,184
2026-04-30,210
2026-05-31,186
2026-06-30,165
2026-07-31,210
2026-08-31,220
2026-09-30,230
2026-10-31,238
2026-11-30,170
2026-12-31,178
2027-01-31,198
2027-02-28,207
2027-03-31,197
2027-04-30,221
2027-05-31,196
2027-06-30,172
2027-07-31,228
2027-08-31,224
2027-09-30,228
2027-10-31,241
2027-11-30,179
2027-12-31,188
2028-01-31,213
2028-02-29,217
2028-03-31,205
2028-04-30,228
2028-05-31,207
2028-06-30,184
2028-07-31,235
2028-08-31,234
2028-09-30,241
