Date,Predicted Sales
2024-01-31,77
2024-02-29,58
2024-03-31,92
2024-04-30,122
2024-05-31,83
2024-06-30,132
2024-07-31,82
2024-08-31,158
2024-09-30,70
2024-10-31,128
2024-11-30,107
2024-12-31,97
2025-01-31,66
2025-02-28,85
2025-03-31,82
2025-04-30,113
2025-05-31,50
2025-06-30,89
2025-07-31,54
2025-08-31,148
2025-09-30,54
2025-10-31,77
2025-11-30,103
2025-12-31,101
2026-01-31,38
2026-02-28,61
2026-03-31,60
2026-04-30,81
2026-05-31,40
2026-06-30,39
2026-07-31,41
2026-08-31,112
2026-09-30,29
2026-10-31,52
2026-11-30,57
2026-12-31,70
2027-01-31,15
2027-02-28,21
2027-03-31,32
2027-04-30,59
2027-05-31,13
2027-06-30,42
2027-07-31,15
2027-08-31,94
2027-09-30,8
2027-10-31,43
2027-11-30,42
2027-12-31,45
2028-01-31,1
2028-02-29,10
2028-03-31,14
2028-04-30,42
2028-05-31,1
2028-06-30,16
2028-07-31,1
2028-08-31,77
2028-09-30,1
