Date,Predicted Sales
2024-01-31,160
2024-02-29,109
2024-03-31,124
2024-04-30,135
2024-05-31,147
2024-06-30,152
2024-07-31,118
2024-08-31,108
2024-09-30,138
2024-10-31,163
2024-11-30,133
2024-12-31,151
2025-01-31,167
2025-02-28,114
2025-03-31,95
2025-04-30,148
2025-05-31,147
2025-06-30,131
2025-07-31,113
2025-08-31,146
2025-09-30,146
2025-10-31,172
2025-11-30,170
2025-12-31,173
2026-01-31,174
2026-02-28,124
2026-03-31,89
2026-04-30,112
2026-05-31,169
2026-06-30,119
2026-07-31,105
2026-08-31,114
2026-09-30,151
2026-10-31,188
2026-11-30,153
2026-12-31,127
2027-01-31,162
2027-02-28,112
2027-03-31,110
2027-04-30,136
2027-05-31,148
2027-06-30,142
2027-07-31,115
2027-08-31,123
2027-09-30,141
2027-10-31,168
2027-11-30,153
2027-12-31,162
2028-01-31,171
2028-02-29,116
2028-03-31,95
2028-04-30,134
2028-05-31,154
2028-06-30,129
2028-07-31,108
2028-08-31,129
2028-09-30,149
