Date,Predicted Sales
2024-01-31,63
2024-02-29,113
2024-03-31,89
2024-04-30,94
2024-05-31,61
2024-06-30,64
2024-07-31,71
2024-08-31,72
2024-09-30,93
2024-10-31,86
2024-11-30,62
2024-12-31,101
2025-01-31,58
2025-02-28,130
2025-03-31,83
2025-04-30,79
2025-05-31,47
2025-06-30,50
2025-07-31,74
2025-08-31,58
2025-09-30,87
2025-10-31,80
2025-11-30,52
2025-12-31,92
2026-01-31,47
2026-02-28,118
2026-03-31,71
2026-04-30,67
2026-05-31,38
2026-06-30,37
2026-07-31,59
2026-08-31,46
2026-09-30,74
2026-10-31,67
2026-11-30,42
2026-12-31,82
2027-01-31,38
2027-02-28,108
2027-03-31,59
2027-04-30,55
2027-05-31,27
2027-06-30,30
2027-07-31,50
2027-08-31,34
2027-09-30,62
2027-10-31,55
2027-11-30,24
2027-12-31,68
2028-01-31,26
2028-02-29,96
2028-03-31,48
2028-04-30,43
2028-05-31,12
2028-06-30,17
2028-07-31,37
2028-08-31,20
2028-09-30,50
