Date,Predicted Sales
2024-01-31,92
2024-02-29,111
2024-03-31,139
2024-04-30,118
2024-05-31,113
2024-06-30,94
2024-07-31,92
2024-08-31,127
2024-09-30,91
2024-10-31,111
2024-11-30,101
2024-12-31,110
2025-01-31,115
2025-02-28,104
2025-03-31,153
2025-04-30,112
2025-05-31,106
2025-06-30,100
2025-07-31,97
2025-08-31,142
2025-09-30,76
2025-10-31,124
2025-11-30,85
2025-12-31,97
2026-01-31,87
2026-02-28,121
2026-03-31,166
2026-04-30,116
2026-05-31,97
2026-06-30,86
2026-07-31,112
2026-08-31,136
2026-09-30,80
2026-10-31,119
2026-11-30,97
2026-12-31,111
2027-01-31,101
2027-02-28,117
2027-03-31,155
2027-04-30,118
2027-05-31,107
2027-06-30,97
2027-07-31,103
2027-08-31,139
2027-09-30,83
2027-10-31,119
2027-11-30,94
2027-12-31,109
2028-01-31,104
2028-02-29,120
2028-03-31,161
2028-04-30,115
2028-05-31,104
2028-06-30,98
2028-07-31,109
2028-08-31,145
2028-09-30,78
