Date,Predicted Sales
2024-01-31,93
2024-02-29,123
2024-03-31,109
2024-04-30,85
2024-05-31,103
2024-06-30,108
2024-07-31,85
2024-08-31,105
2024-09-30,88
2024-10-31,102
2024-11-30,94
2024-12-31,67
2025-01-31,95
2025-02-28,123
2025-03-31,109
2025-04-30,85
2025-05-31,104
2025-06-30,109
2025-07-31,86
2025-08-31,107
2025-09-30,89
2025-10-31,104
2025-11-30,93
2025-12-31,66
2026-01-31,95
2026-02-28,123
2026-03-31,110
2026-04-30,85
2026-05-31,103
2026-06-30,109
2026-07-31,87
2026-08-31,106
2026-09-30,91
2026-10-31,109
2026-11-30,94
2026-12-31,70
2027-01-31,101
2027-02-28,124
2027-03-31,109
2027-04-30,88
2027-05-31,106
2027-06-30,112
2027-07-31,87
2027-08-31,107
2027-09-30,90
2027-10-31,104
2027-11-30,95
2027-12-31,68
2028-01-31,95
2028-02-29,122
2028-03-31,111
2028-04-30,88
2028-05-31,105
2028-06-30,111
2028-07-31,88
2028-08-31,109
2028-09-30,91
