Date,Predicted Sales
2024-01-31,102
2024-02-29,68
2024-03-31,80
2024-04-30,46
2024-05-31,72
2024-06-30,44
2024-07-31,57
2024-08-31,47
2024-09-30,149
2024-10-31,94
2024-11-30,50
2024-12-31,57
2025-01-31,69
2025-02-28,55
2025-03-31,89
2025-04-30,39
2025-05-31,62
2025-06-30,34
2025-07-31,51
2025-08-31,47
2025-09-30,104
2025-10-31,65
2025-11-30,22
2025-12-31,25
2026-01-31,52
2026-02-28,29
2026-03-31,52
2026-04-30,8
2026-05-31,33
2026-06-30,3
2026-07-31,21
2026-08-31,17
2026-09-30,94
2026-10-31,44
2026-11-30,1
2026-12-31,5
2027-01-31,24
2027-02-28,5
2027-03-31,33
2027-04-30,1
2027-05-31,15
2027-06-30,1
2027-07-31,1
2027-08-31,1
2027-09-30,65
2027-10-31,22
2027-11-30,1
2027-12-31,1
2028-01-31,4
2028-02-29,1
2028-03-31,9
2028-04-30,1
2028-05-31,1
2028-06-30,1
2028-07-31,1
2028-08-31,1
2028-09-30,48
