Date,Predicted Sales
2024-01-31,57
2024-02-29,73
2024-03-31,39
2024-04-30,86
2024-05-31,32
2024-06-30,68
2024-07-31,87
2024-08-31,52
2024-09-30,59
2024-10-31,41
2024-11-30,60
2024-12-31,38
2025-01-31,56
2025-02-28,52
2025-03-31,40
2025-04-30,83
2025-05-31,42
2025-06-30,54
2025-07-31,84
2025-08-31,72
2025-09-30,47
2025-10-31,54
2025-11-30,56
2025-12-31,47
2026-01-31,59
2026-02-28,63
2026-03-31,42
2026-04-30,86
2026-05-31,41
2026-06-30,61
2026-07-31,90
2026-08-31,67
2026-09-30,54
2026-10-31,51
2026-11-30,60
2026-12-31,46
2027-01-31,60
2027-02-28,60
2027-03-31,42
2027-04-30,88
2027-05-31,43
2027-06-30,57
2027-07-31,93
2027-08-31,72
2027-09-30,55
2027-10-31,55
2027-11-30,61
2027-12-31,48
2028-01-31,62
2028-02-29,66
2028-03-31,45
2028-04-30,89
2028-05-31,45
2028-06-30,63
2028-07-31,91
2028-08-31,73
2028-09-30,56
