Date,Predicted Sales
2024-01-31,142
2024-02-29,66
2024-03-31,137
2024-04-30,103
2024-05-31,79
2024-06-30,98
2024-07-31,67
2024-08-31,93
2024-09-30,108
2024-10-31,116
2024-11-30,58
2024-12-31,87
2025-01-31,142
2025-02-28,82
2025-03-31,138
2025-04-30,95
2025-05-31,76
2025-06-30,93
2025-07-31,68
2025-08-31,89
2025-09-30,108
2025-10-31,107
2025-11-30,57
2025-12-31,87
2026-01-31,132
2026-02-28,72
2026-03-31,127
2026-04-30,92
2026-05-31,67
2026-06-30,97
2026-07-31,68
2026-08-31,89
2026-09-30,110
2026-10-31,102
2026-11-30,64
2026-12-31,81
2027-01-31,139
2027-02-28,74
2027-03-31,133
2027-04-30,95
2027-05-31,72
2027-06-30,96
2027-07-31,68
2027-08-31,90
2027-09-30,109
2027-10-31,106
2027-11-30,59
2027-12-31,83
2028-01-31,138
2028-02-29,76
2028-03-31,132
2028-04-30,93
2028-05-31,70
2028-06-30,95
2028-07-31,67
2028-08-31,89
2028-09-30,108
