Date,Predicted Sales
2024-01-31,112
2024-02-29,144
2024-03-31,164
2024-04-30,147
2024-05-31,177
2024-06-30,156
2024-07-31,133
2024-08-31,131
2024-09-30,146
2024-10-31,156
2024-11-30,132
2024-12-31,168
2025-01-31,121
2025-02-28,160
2025-03-31,158
2025-04-30,155
2025-05-31,167
2025-06-30,171
2025-07-31,131
2025-08-31,131
2025-09-30,121
2025-10-31,147
2025-11-30,135
2025-12-31,177
2026-01-31,119
2026-02-28,146
2026-03-31,144
2026-04-30,155
2026-05-31,170
2026-06-30,166
2026-07-31,138
2026-08-31,126
2026-09-30,132
2026-10-31,161
2026-11-30,140
2026-12-31,174
2027-01-31,120
2027-02-28,154
2027-03-31,159
2027-04-30,155
2027-05-31,174
2027-06-30,171
2027-07-31,140
2027-08-31,133
2027-09-30,136
2027-10-31,156
2027-11-30,139
2027-12-31,178
2028-01-31,124
2028-02-29,156
2028-03-31,155
2028-04-30,158
2028-05-31,173
2028-06-30,174
2028-07-31,142
2028-08-31,133
2028-09-30,132
