Date,Predicted Sales
2024-01-31,96
2024-02-29,126
2024-03-31,104
2024-04-30,90
2024-05-31,70
2024-06-30,103
2024-07-31,145
2024-08-31,96
2024-09-30,113
2024-10-31,121
2024-11-30,111
2024-12-31,106
2025-01-31,102
2025-02-28,124
2025-03-31,113
2025-04-30,83
2025-05-31,69
2025-06-30,90
2025-07-31,146
2025-08-31,106
2025-09-30,121
2025-10-31,143
2025-11-30,109
2025-12-31,114
2026-01-31,114
2026-02-28,142
2026-03-31,121
2026-04-30,84
2026-05-31,74
2026-06-30,99
2026-07-31,148
2026-08-31,112
2026-09-30,123
2026-10-31,149
2026-11-30,115
2026-12-31,121
2027-01-31,117
2027-02-28,142
2027-03-31,124
2027-04-30,94
2027-05-31,77
2027-06-30,106
2027-07-31,153
2027-08-31,112
2027-09-30,126
2027-10-31,146
2027-11-30,119
2027-12-31,122
2028-01-31,120
2028-02-29,148
2028-03-31,130
2028-04-30,98
2028-05-31,84
2028-06-30,109
2028-07-31,159
2028-08-31,118
2028-09-30,133
