Date,Predicted Sales
2024-01-31,52
2024-02-29,93
2024-03-31,85
2024-04-30,96
2024-05-31,102
2024-06-30,99
2024-07-31,108
2024-08-31,75
2024-09-30,69
2024-10-31,107
2024-11-30,84
2024-12-31,70
2025-01-31,51
2025-02-28,88
2025-03-31,88
2025-04-30,72
2025-05-31,70
2025-06-30,106
2025-07-31,92
2025-08-31,86
2025-09-30,61
2025-10-31,115
2025-11-30,91
2025-12-31,85
2026-01-31,42
2026-02-28,78
2026-03-31,56
2026-04-30,60
2026-05-31,71
2026-06-30,96
2026-07-31,89
2026-08-31,62
2026-09-30,41
2026-10-31,99
2026-11-30,58
2026-12-31,65
2027-01-31,29
2027-02-28,67
2027-03-31,60
2027-04-30,59
2027-05-31,60
2027-06-30,81
2027-07-31,76
2027-08-31,55
2027-09-30,37
2027-10-31,87
2027-11-30,60
2027-12-31,56
2028-01-31,24
2028-02-29,62
2028-03-31,52
2028-04-30,45
2028-05-31,49
2028-06-30,80
2028-07-31,69
2028-08-31,52
2028-09-30,29
