Date,Predicted Sales
2024-01-31,150
2024-02-29,179
2024-03-31,133
2024-04-30,140
2024-05-31,121
2024-06-30,160
2024-07-31,141
2024-08-31,123
2024-09-30,150
2024-10-31,162
2024-11-30,134
2024-12-31,168
2025-01-31,138
2025-02-28,161
2025-03-31,137
2025-04-30,140
2025-05-31,150
2025-06-30,155
2025-07-31,138
2025-08-31,129
2025-09-30,135
2025-10-31,150
2025-11-30,142
2025-12-31,159
2026-01-31,145
2026-02-28,148
2026-03-31,127
2026-04-30,146
2026-05-31,134
2026-06-30,160
2026-07-31,128
2026-08-31,125
2026-09-30,159
2026-10-31,159
2026-11-30,135
2026-12-31,152
2027-01-31,148
2027-02-28,152
2027-03-31,128
2027-04-30,145
2027-05-31,127
2027-06-30,161
2027-07-31,129
2027-08-31,122
2027-09-30,160
2027-10-31,160
2027-11-30,134
2027-12-31,154
2028-01-31,143
2028-02-29,157
2028-03-31,129
2028-04-30,142
2028-05-31,129
2028-06-30,158
2028-07-31,132
2028-08-31,126
2028-09-30,156
