Date,Predicted Sales
2024-01-31,66
2024-02-29,44
2024-03-31,65
2024-04-30,49
2024-05-31,65
2024-06-30,50
2024-07-31,58
2024-08-31,47
2024-09-30,52
2024-10-31,49
2024-11-30,59
2024-12-31,63
2025-01-31,68
2025-02-28,45
2025-03-31,66
2025-04-30,50
2025-05-31,68
2025-06-30,52
2025-07-31,62
2025-08-31,50
2025-09-30,55
2025-10-31,51
2025-11-30,58
2025-12-31,61
2026-01-31,69
2026-02-28,46
2026-03-31,67
2026-04-30,51
2026-05-31,69
2026-06-30,51
2026-07-31,62
2026-08-31,51
2026-09-30,56
2026-10-31,52
2026-11-30,61
2026-12-31,66
2027-01-31,72
2027-02-28,50
2027-03-31,70
2027-04-30,55
2027-05-31,71
2027-06-30,54
2027-07-31,64
2027-08-31,53
2027-09-30,57
2027-10-31,54
2027-11-30,64
2027-12-31,67
2028-01-31,75
2028-02-29,52
2028-03-31,72
2028-04-30,57
2028-05-31,73
2028-06-30,56
2028-07-31,64
2028-08-31,54
2028-09-30,59
