Date,Predicted Sales
2024-01-31,54
2024-02-29,83
2024-03-31,90
2024-04-30,50
2024-05-31,55
2024-06-30,74
2024-07-31,81
2024-08-31,61
2024-09-30,72
2024-10-31,72
2024-11-30,52
2024-12-31,50
2025-01-31,51
2025-02-28,84
2025-03-31,93
2025-04-30,42
2025-05-31,59
2025-06-30,64
2025-07-31,93
2025-08-31,70
2025-09-30,58
2025-10-31,55
2025-11-30,48
2025-12-31,43
2026-01-31,45
2026-02-28,78
2026-03-31,86
2026-04-30,37
2026-05-31,52
2026-06-30,60
2026-07-31,84
2026-08-31,64
2026-09-30,56
2026-10-31,52
2026-11-30,43
2026-12-31,38
2027-01-31,40
2027-02-28,73
2027-03-31,81
2027-04-30,32
2027-05-31,46
2027-06-30,51
2027-07-31,79
2027-08-31,58
2027-09-30,50
2027-10-31,47
2027-11-30,38
2027-12-31,33
2028-01-31,35
2028-02-29,67
2028-03-31,76
2028-04-30,27
2028-05-31,42
2028-06-30,50
2028-07-31,74
2028-08-31,51
2028-09-30,42
