Date,Predicted Sales
2024-01-31,126
2024-02-29,151
2024-03-31,130
2024-04-30,130
2024-05-31,148
2024-06-30,138
2024-07-31,149
2024-08-31,154
2024-09-30,122
2024-10-31,125
2024-11-30,148
2024-12-31,147
2025-01-31,142
2025-02-28,152
2025-03-31,138
2025-04-30,134
2025-05-31,152
2025-06-30,142
2025-07-31,152
2025-08-31,156
2025-09-30,125
2025-10-31,128
2025-11-30,146
2025-12-31,151
2026-01-31,145
2026-02-28,155
2026-03-31,139
2026-04-30,132
2026-05-31,155
2026-06-30,145
2026-07-31,156
2026-08-31,161
2026-09-30,131
2026-10-31,138
2026-11-30,154
2026-12-31,148
2027-01-31,147
2027-02-28,156
2027-03-31,143
2027-04-30,135
2027-05-31,156
2027-06-30,146
2027-07-31,158
2027-08-31,162
2027-09-30,132
2027-10-31,137
2027-11-30,156
2027-12-31,156
2028-01-31,153
2028-02-29,162
2028-03-31,144
2028-04-30,136
2028-05-31,162
2028-06-30,150
2028-07-31,161
2028-08-31,165
2028-09-30,133
