Date,Predicted Sales
2019-08-31,4
2019-09-30,6
2019-10-31,7
2019-11-30,6
2019-12-31,10
2020-01-31,6
2020-02-29,6
2020-03-31,6
2020-04-30,6
2020-05-31,6
2020-06-30,6
2020-07-31,9
2020-08-31,7
2020-09-30,7
2020-10-31,8
2020-11-30,7
2020-12-31,14
2021-01-31,8
2021-02-28,8
2021-03-31,8
2021-04-30,8
2021-05-31,8
2021-06-30,8
2021-07-31,11
2021-08-31,9
2021-09-30,9
2021-10-31,10
2021-11-30,10
2021-12-31,12
2022-01-31,10
2022-02-28,9
2022-03-31,10
2022-04-30,10
2022-05-31,10
2022-06-30,10
2022-07-31,17
2022-08-31,12
2022-09-30,13
2022-10-31,14
2022-11-30,13
2022-12-31,18
2023-01-31,14
2023-02-28,13
2023-03-31,13
2023-04-30,14
2023-05-31,14
2023-06-30,14
2023-07-31,17
