Date,Predicted Sales
2024-01-31,126
2024-02-29,133
2024-03-31,170
2024-04-30,155
2024-05-31,167
2024-06-30,149
2024-07-31,166
2024-08-31,124
2024-09-30,144
2024-10-31,130
2024-11-30,130
2024-12-31,155
2025-01-31,136
2025-02-28,135
2025-03-31,168
2025-04-30,161
2025-05-31,173
2025-06-30,145
2025-07-31,171
2025-08-31,124
2025-09-30,139
2025-10-31,131
2025-11-30,139
2025-12-31,158
2026-01-31,139
2026-02-28,139
2026-03-31,171
2026-04-30,162
2026-05-31,178
2026-06-30,147
2026-07-31,175
2026-08-31,126
2026-09-30,142
2026-10-31,134
2026-11-30,142
2026-12-31,160
2027-01-31,140
2027-02-28,142
2027-03-31,173
2027-04-30,168
2027-05-31,179
2027-06-30,153
2027-07-31,176
2027-08-31,131
2027-09-30,145
2027-10-31,137
2027-11-30,143
2027-12-31,164
2028-01-31,145
2028-02-29,144
2028-03-31,178
2028-04-30,169
2028-05-31,182
2028-06-30,156
2028-07-31,180
2028-08-31,134
2028-09-30,148
