Date,Predicted Sales
2024-01-31,219
2024-02-29,161
2024-03-31,212
2024-04-30,196
2024-05-31,263
2024-06-30,223
2024-07-31,161
2024-08-31,178
2024-09-30,200
2024-10-31,152
2024-11-30,193
2024-12-31,166
2025-01-31,206
2025-02-28,184
2025-03-31,221
2025-04-30,224
2025-05-31,253
2025-06-30,230
2025-07-31,182
2025-08-31,178
2025-09-30,202
2025-10-31,154
2025-11-30,200
2025-12-31,184
2026-01-31,239
2026-02-28,168
2026-03-31,248
2026-04-30,212
2026-05-31,275
2026-06-30,253
2026-07-31,199
2026-08-31,188
2026-09-30,217
2026-10-31,178
2026-11-30,222
2026-12-31,196
2027-01-31,244
2027-02-28,195
2027-03-31,249
2027-04-30,234
2027-05-31,289
2027-06-30,261
2027-07-31,207
2027-08-31,207
2027-09-30,231
2027-10-31,186
2027-11-30,229
2027-12-31,205
2028-01-31,253
2028-02-29,206
2028-03-31,263
2028-04-30,248
2028-05-31,296
2028-06-30,272
2028-07-31,220
2028-08-31,214
2028-09-30,241
