Date,Predicted Sales
2024-01-31,224
2024-02-29,154
2024-03-31,208
2024-04-30,153
2024-05-31,183
2024-06-30,192
2024-07-31,224
2024-08-31,219
2024-09-30,181
2024-10-31,200
2024-11-30,196
2024-12-31,177
2025-01-31,208
2025-02-28,166
2025-03-31,240
2025-04-30,181
2025-05-31,195
2025-06-30,190
2025-07-31,214
2025-08-31,211
2025-09-30,182
2025-10-31,206
2025-11-30,206
2025-12-31,186
2026-01-31,213
2026-02-28,168
2026-03-31,240
2026-04-30,182
2026-05-31,198
2026-06-30,195
2026-07-31,219
2026-08-31,216
2026-09-30,187
2026-10-31,209
2026-11-30,208
2026-12-31,188
2027-01-31,216
2027-02-28,171
2027-03-31,244
2027-04-30,186
2027-05-31,201
2027-06-30,197
2027-07-31,223
2027-08-31,219
2027-09-30,190
2027-10-31,213
2027-11-30,211
2027-12-31,191
2028-01-31,220
2028-02-29,175
2028-03-31,248
2028-04-30,189
2028-05-31,205
2028-06-30,202
2028-07-31,224
2028-08-31,220
2028-09-30,191
