Date,Predicted Sales
2024-01-31,259
2024-02-29,177
2024-03-31,216
2024-04-30,223
2024-05-31,239
2024-06-30,197
2024-07-31,206
2024-08-31,194
2024-09-30,231
2024-10-31,203
2024-11-30,203
2024-12-31,276
2025-01-31,254
2025-02-28,177
2025-03-31,223
2025-04-30,213
2025-05-31,237
2025-06-30,197
2025-07-31,205
2025-08-31,191
2025-09-30,231
2025-10-31,201
2025-11-30,201
2025-12-31,276
2026-01-31,254
2026-02-28,177
2026-03-31,222
2026-04-30,211
2026-05-31,237
2026-06-30,197
2026-07-31,204
2026-08-31,191
2026-09-30,231
2026-10-31,201
2026-11-30,201
2026-12-31,281
2027-01-31,253
2027-02-28,176
2027-03-31,223
2027-04-30,211
2027-05-31,236
2027-06-30,196
2027-07-31,204
2027-08-31,190
2027-09-30,230
2027-10-31,200
2027-11-30,200
2027-12-31,274
2028-01-31,252
2028-02-29,175
2028-03-31,221
2028-04-30,210
2028-05-31,236
2028-06-30,195
2028-07-31,203
2028-08-31,190
2028-09-30,229
