Date,Predicted Sales
2024-01-31,169
2024-02-29,121
2024-03-31,158
2024-04-30,118
2024-05-31,137
2024-06-30,148
2024-07-31,140
2024-08-31,121
2024-09-30,142
2024-10-31,112
2024-11-30,134
2024-12-31,144
2025-01-31,163
2025-02-28,139
2025-03-31,154
2025-04-30,130
2025-05-31,148
2025-06-30,136
2025-07-31,137
2025-08-31,127
2025-09-30,144
2025-10-31,131
2025-11-30,124
2025-12-31,139
2026-01-31,165
2026-02-28,133
2026-03-31,150
2026-04-30,124
2026-05-31,163
2026-06-30,129
2026-07-31,126
2026-08-31,124
2026-09-30,134
2026-10-31,125
2026-11-30,126
2026-12-31,146
2027-01-31,164
2027-02-28,130
2027-03-31,150
2027-04-30,122
2027-05-31,157
2027-06-30,132
2027-07-31,127
2027-08-31,124
2027-09-30,136
2027-10-31,124
2027-11-30,126
2027-12-31,144
2028-01-31,163
2028-02-29,130
2028-03-31,150
2028-04-30,123
2028-05-31,155
2028-06-30,131
2028-07-31,127
2028-08-31,122
2028-09-30,135
