Date,Predicted Sales
2023-09-30,3
2023-10-31,2
2023-11-30,2
2023-12-31,5
2024-01-31,2
2024-02-29,2
2024-03-31,2
2024-04-30,5
2024-05-31,3
2024-06-30,2
2024-07-31,2
2024-08-31,4
2024-09-30,3
2024-10-31,3
2024-11-30,3
2024-12-31,4
2025-01-31,3
2025-02-28,3
2025-03-31,3
2025-04-30,4
2025-05-31,3
2025-06-30,3
2025-07-31,3
2025-08-31,6
2025-09-30,5
2025-10-31,4
2025-11-30,4
2025-12-31,6
2026-01-31,5
2026-02-28,4
2026-03-31,4
2026-04-30,6
2026-05-31,4
2026-06-30,4
2026-07-31,4
2026-08-31,7
2026-09-30,6
2026-10-31,6
2026-11-30,5
2026-12-31,7
2027-01-31,6
2027-02-28,6
2027-03-31,6
2027-04-30,7
2027-05-31,6
2027-06-30,6
2027-07-31,6
2027-08-31,8
2027-09-30,7
2027-10-31,7
2027-11-30,7
2027-12-31,8
2028-01-31,7
2028-02-29,7
2028-03-31,7
2028-04-30,8
2028-05-31,7
