Date,Predicted Sales
2024-01-31,250
2024-02-29,275
2024-03-31,299
2024-04-30,267
2024-05-31,290
2024-06-30,254
2024-07-31,259
2024-08-31,260
2024-09-30,244
2024-10-31,262
2024-11-30,222
2024-12-31,259
2025-01-31,264
2025-02-28,276
2025-03-31,292
2025-04-30,259
2025-05-31,315
2025-06-30,252
2025-07-31,273
2025-08-31,260
2025-09-30,257
2025-10-31,256
2025-11-30,218
2025-12-31,266
2026-01-31,287
2026-02-28,292
2026-03-31,297
2026-04-30,273
2026-05-31,330
2026-06-30,273
2026-07-31,293
2026-08-31,270
2026-09-30,254
2026-10-31,268
2026-11-30,238
2026-12-31,272
2027-01-31,290
2027-02-28,298
2027-03-31,311
2027-04-30,284
2027-05-31,334
2027-06-30,278
2027-07-31,298
2027-08-31,280
2027-09-30,265
2027-10-31,276
2027-11-30,246
2027-12-31,281
2028-01-31,296
2028-02-29,304
2028-03-31,319
2028-04-30,290
2028-05-31,341
2028-06-30,285
2028-07-31,303
2028-08-31,287
2028-09-30,276
