Date,Predicted Sales
2024-01-31,148
2024-02-29,176
2024-03-31,151
2024-04-30,140
2024-05-31,177
2024-06-30,117
2024-07-31,157
2024-08-31,174
2024-09-30,201
2024-10-31,153
2024-11-30,124
2024-12-31,177
2025-01-31,142
2025-02-28,145
2025-03-31,169
2025-04-30,134
2025-05-31,197
2025-06-30,136
2025-07-31,164
2025-08-31,143
2025-09-30,208
2025-10-31,138
2025-11-30,169
2025-12-31,164
2026-01-31,142
2026-02-28,161
2026-03-31,159
2026-04-30,137
2026-05-31,187
2026-06-30,127
2026-07-31,159
2026-08-31,161
2026-09-30,205
2026-10-31,146
2026-11-30,146
2026-12-31,171
2027-01-31,144
2027-02-28,153
2027-03-31,165
2027-04-30,134
2027-05-31,191
2027-06-30,131
2027-07-31,161
2027-08-31,152
2027-09-30,207
2027-10-31,143
2027-11-30,159
2027-12-31,167
2028-01-31,146
2028-02-29,158
2028-03-31,163
2028-04-30,136
2028-05-31,190
2028-06-30,130
2028-07-31,162
2028-08-31,157
2028-09-30,206
