Date,Predicted Sales
2024-01-31,191
2024-02-29,192
2024-03-31,209
2024-04-30,195
2024-05-31,207
2024-06-30,189
2024-07-31,201
2024-08-31,190
2024-09-30,231
2024-10-31,194
2024-11-30,198
2024-12-31,211
2025-01-31,177
2025-02-28,187
2025-03-31,210
2025-04-30,196
2025-05-31,203
2025-06-30,186
2025-07-31,202
2025-08-31,188
2025-09-30,230
2025-10-31,193
2025-11-30,198
2025-12-31,208
2026-01-31,176
2026-02-28,186
2026-03-31,209
2026-04-30,195
2026-05-31,202
2026-06-30,186
2026-07-31,198
2026-08-31,187
2026-09-30,229
2026-10-31,191
2026-11-30,195
2026-12-31,206
2027-01-31,175
2027-02-28,190
2027-03-31,207
2027-04-30,193
2027-05-31,198
2027-06-30,185
2027-07-31,196
2027-08-31,186
2027-09-30,227
2027-10-31,192
2027-11-30,195
2027-12-31,207
2028-01-31,173
2028-02-29,182
2028-03-31,206
2028-04-30,190
2028-05-31,200
2028-06-30,184
2028-07-31,197
2028-08-31,185
2028-09-30,227
