Date,Predicted Sales
2024-01-31,92
2024-02-29,94
2024-03-31,120
2024-04-30,79
2024-05-31,62
2024-06-30,107
2024-07-31,84
2024-08-31,65
2024-09-30,79
2024-10-31,99
2024-11-30,93
2024-12-31,59
2025-01-31,79
2025-02-28,83
2025-03-31,96
2025-04-30,64
2025-05-31,79
2025-06-30,84
2025-07-31,94
2025-08-31,100
2025-09-30,78
2025-10-31,83
2025-11-30,81
2025-12-31,75
2026-01-31,74
2026-02-28,64
2026-03-31,98
2026-04-30,73
2026-05-31,89
2026-06-30,77
2026-07-31,86
2026-08-31,95
2026-09-30,89
2026-10-31,96
2026-11-30,71
2026-12-31,64
2027-01-31,76
2027-02-28,65
2027-03-31,104
2027-04-30,77
2027-05-31,79
2027-06-30,79
2027-07-31,81
2027-08-31,83
2027-09-30,88
2027-10-31,98
2027-11-30,71
2027-12-31,56
2028-01-31,75
2028-02-29,69
2028-03-31,102
2028-04-30,72
2028-05-31,75
2028-06-30,81
2028-07-31,80
2028-08-31,79
2028-09-30,83
