Date,Predicted Sales
2024-01-31,365
2024-02-29,326
2024-03-31,284
2024-04-30,204
2024-05-31,262
2024-06-30,285
2024-07-31,286
2024-08-31,238
2024-09-30,313
2024-10-31,328
2024-11-30,267
2024-12-31,280
2025-01-31,285
2025-02-28,275
2025-03-31,315
2025-04-30,265
2025-05-31,324
2025-06-30,278
2025-07-31,298
2025-08-31,272
2025-09-30,267
2025-10-31,297
2025-11-30,239
2025-12-31,310
2026-01-31,303
2026-02-28,290
2026-03-31,301
2026-04-30,240
2026-05-31,292
2026-06-30,269
2026-07-31,287
2026-08-31,252
2026-09-30,277
2026-10-31,302
2026-11-30,244
2026-12-31,289
2027-01-31,288
2027-02-28,278
2027-03-31,300
2027-04-30,243
2027-05-31,298
2027-06-30,268
2027-07-31,280
2027-08-31,253
2027-09-30,268
2027-10-31,295
2027-11-30,237
2027-12-31,292
2028-01-31,286
2028-02-29,273
2028-03-31,291
2028-04-30,236
2028-05-31,286
2028-06-30,261
2028-07-31,282
2028-08-31,248
2028-09-30,262
