Date,Predicted Sales
2024-01-31,424
2024-02-29,394
2024-03-31,500
2024-04-30,396
2024-05-31,477
2024-06-30,399
2024-07-31,389
2024-08-31,395
2024-09-30,407
2024-10-31,449
2024-11-30,379
2024-12-31,479
2025-01-31,458
2025-02-28,413
2025-03-31,516
2025-04-30,422
2025-05-31,497
2025-06-30,417
2025-07-31,413
2025-08-31,421
2025-09-30,422
2025-10-31,471
2025-11-30,405
2025-12-31,496
2026-01-31,479
2026-02-28,431
2026-03-31,533
2026-04-30,443
2026-05-31,514
2026-06-30,435
2026-07-31,435
2026-08-31,437
2026-09-30,439
2026-10-31,492
2026-11-30,425
2026-12-31,517
2027-01-31,499
2027-02-28,452
2027-03-31,555
2027-04-30,461
2027-05-31,534
2027-06-30,456
2027-07-31,453
2027-08-31,458
2027-09-30,461
2027-10-31,510
2027-11-30,445
2027-12-31,535
2028-01-31,519
2028-02-29,472
2028-03-31,574
2028-04-30,481
2028-05-31,556
2028-06-30,479
2028-07-31,472
2028-08-31,477
2028-09-30,480
