Date,Predicted Sales
2024-01-31,326
2024-02-29,185
2024-03-31,248
2024-04-30,232
2024-05-31,240
2024-06-30,153
2024-07-31,202
2024-08-31,207
2024-09-30,212
2024-10-31,220
2024-11-30,172
2024-12-31,183
2025-01-31,320
2025-02-28,194
2025-03-31,249
2025-04-30,234
2025-05-31,226
2025-06-30,146
2025-07-31,217
2025-08-31,201
2025-09-30,178
2025-10-31,203
2025-11-30,173
2025-12-31,192
2026-01-31,330
2026-02-28,191
2026-03-31,247
2026-04-30,216
2026-05-31,220
2026-06-30,146
2026-07-31,224
2026-08-31,204
2026-09-30,190
2026-10-31,209
2026-11-30,187
2026-12-31,180
2027-01-31,325
2027-02-28,188
2027-03-31,246
2027-04-30,229
2027-05-31,229
2027-06-30,149
2027-07-31,214
2027-08-31,205
2027-09-30,195
2027-10-31,210
2027-11-30,175
2027-12-31,185
2028-01-31,325
2028-02-29,191
2028-03-31,248
2028-04-30,224
2028-05-31,224
2028-06-30,146
2028-07-31,220
2028-08-31,204
2028-09-30,188
