Date,Predicted Sales
2023-05-31,12
2023-06-30,2
2023-07-31,2
2023-08-31,2
2023-09-30,2
2023-10-31,2
2023-11-30,2
2023-12-31,2
2024-01-31,2
2024-02-29,2
2024-03-31,2
2024-04-30,14
2024-05-31,14
2024-06-30,4
2024-07-31,4
2024-08-31,4
2024-09-30,4
2024-10-31,4
2024-11-30,4
2024-12-31,4
2025-01-31,4
2025-02-28,4
2025-03-31,4
2025-04-30,16
2025-05-31,16
2025-06-30,6
2025-07-31,6
2025-08-31,6
2025-09-30,6
2025-10-31,6
2025-11-30,6
2025-12-31,6
2026-01-31,6
2026-02-28,6
2026-03-31,5
2026-04-30,18
2026-05-31,18
2026-06-30,7
2026-07-31,7
2026-08-31,7
2026-09-30,7
2026-10-31,7
2026-11-30,7
2026-12-31,7
2027-01-31,7
2027-02-28,7
2027-03-31,7
2027-04-30,20
2027-05-31,19
2027-06-30,9
2027-07-31,9
2027-08-31,9
2027-09-30,9
2027-10-31,9
2027-11-30,9
2027-12-31,9
2028-01-31,9
